,id_text,ruler,year,month,day,date_of_origin,date,long_date,date_gen,day,long_date_gen,month,year,eponym,regnal_dates,ancient_year,date_bce,months_recorded,date_comments,proposed_date,eponym_title,astron_date,Reg_year,Reg_no,dynastic_seat,ancient_date
4161,p334537,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4162,p334538,Sargon II,,,,sargon2.000.00.00,-726,,,,,,,,721–705 BC,,,,,-726,,,,,,
4163,p334539,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4164,p334540,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4165,p334541,Esarhaddon,,,,esarhaddon.000.00.00,(672-669),,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4166,p334542,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4167,p334543,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4168,p334544,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4169,p334545,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4170,p334546,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4171,p334547,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4172,p334548,Esarhaddon,,,,esarhaddon.000.00.00,(679-675),,,,,,,,680–669 BC,,,,,(679-675),,,,,,
4173,p334549,Esarhaddon,,,,esarhaddon.000.00.00,(679-675),,,,,,,,680–669 BC,,,,,(679-675),,,,,,
4174,p334550,Esarhaddon,,,,esarhaddon.000.00.00,(679-675),,,,,,,,680–669 BC,,,,,(679-675),,,,,,
4175,p334551,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4176,p334552,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4177,p334554,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4178,p334555,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4179,p334556,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4180,p334557,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4181,p334558,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4182,p334559,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4183,p334561,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4184,p334562,Sargon II,,,,sargon2.000.00.00,-707,,,,,,,,721–705 BC,,,,,-707,,,,,,
4185,p334563,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4186,p334564,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4187,p334565,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4188,p334566,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4189,p334567,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4190,p334568,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4191,p334569,Esarhaddon,,,,esarhaddon.000.00.00,0669/03/14,,,,,,,,680–669 BC,,,,,(669-III-14),,,,,,
4192,p334570,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4193,p334571,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4194,p334572,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4195,p334573,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4196,p334574,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4197,p334575,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4198,p334576,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4199,p334577,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4200,p334578,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4201,p334579,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4202,p334580,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4203,p334581,Esarhaddon or Ashurbanipal,,,,00.000.00.00,,,,,,,,,,,,,,,,,,,,
4204,p334582,Esarhaddon,,,,esarhaddon.000.00.00,680-669,,,,,,,,680–669 BC,,,,,(680-669),,,,,,
4205,p334583,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4206,p334585,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4207,p334586,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4208,p334587,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4209,p334588,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4210,p334589,Esarhaddon,,,,esarhaddon.000.00.00,(672-669),,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4211,p334590,Esarhaddon,,,,esarhaddon.000.00.00,(672-669),,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4212,p334591,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4213,p334592,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4214,p334593,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4215,p334595,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4216,p334596,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4217,p334597,Ashurbanipal,,,,assurbanipal.000.00.00,0667/07/14,,,,,,,,668–ca. 631 BC,,,,,(667-VII-14),,,,,,
4218,p334598,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4219,p334599,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4220,p334600,Esarhaddon,,,,esarhaddon.000.00.00,672-669,,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4221,p334601,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4222,p334602,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4223,p334603,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4224,p334604,Ashurbanipal,,,,assurbanipal.000.00.00,650,,,,,,,,668–ca. 631 BC,,,,,-650,,a-649-05-13,,,,
4225,p334605,Ashurbanipal,,,,assurbanipal.000.00.00,650,,,,,,,,668–ca. 631 BC,,,,,-650,,a-649-05-13,,,,
4226,p334606,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4227,p334607,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4228,p334608,Esarhaddon,,,,esarhaddon.000.00.00,-672,,,,,,,,680–669 BC,,,,,-672,,,,,,
4229,p334609,Sargon II,,,,sargon2.000.00.00,(710-709),,,,,,,,721–705 BC,,,,,(710-709),,,,,,
4230,p334610,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4231,p334611,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4232,p334612,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4233,p334613,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4234,p334614,Ashurbanipal,,,,assurbanipal.000.00.00,0667/09/30,,,,,,,,668–ca. 631 BC,,,,,(667-IX-30),,,,,,
4235,p334615,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4236,p334616,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4237,p334617,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4238,p334618,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4239,p334619,Ashurbanipal,,,,assurbanipal.000.00.00,651,,,,,,,,668–ca. 631 BC,,,,,-651,,a-650-06-07,,,,
4240,p334620,Ashurbanipal,,,,assurbanipal.000.00.00,668-ca. 631,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
4241,p334621,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4242,p334622,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4243,p334623,Esarhaddon,,,,esarhaddon.000.00.00,-680,,,,,,,,680–669 BC,,,,,-680,,,,,,
4244,p334624,Esarhaddon,,,,esarhaddon.000.00.00,(674 or 673),,,,,,,,680–669 BC,,,,,(674 or 673),,,,,,
4245,p334625,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4246,p334626,Ashurbanipal,,,,assurbanipal.000.00.00,667,,,,,,,,668–ca. 631 BC,,,,,-667,,,,,,
4247,p334627,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4248,p334628,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4249,p334629,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4250,p334630,Esarhaddon,,,,esarhaddon.000.00.00,680-669,,,,,,,,680–669 BC,,,,,(680-669),,,,,,
4251,p334631,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4252,p334632,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4253,p334633,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4254,p334634,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4255,p334635,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4256,p334636,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4257,p334637,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4258,p334638,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4259,p334639,Esarhaddon,,,,esarhaddon.000.00.00,-672,,,,,,,,680–669 BC,,,,,-672,,,,,,
4260,p334640,Esarhaddon,,,,esarhaddon.000.00.00,(672-669),,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4261,p334641,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4262,p334642,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4263,p334643,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4264,p334644,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4265,p334645,Esarhaddon,,,,esarhaddon.000.00.00,0670/06/01,,,,,,,,680–669 BC,,,,,(670-VI-01),,,,,,
4266,p334646,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4267,p334647,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4268,p334648,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4269,p334650,Esarhaddon,,,,esarhaddon.000.00.00,670/05/00,,,,,,,,680–669 BC,,,,,(670-V-[...]),,,,,,
4270,p334651,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4271,p334652,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4272,p334653,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4273,p334654,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4274,p334655,Esarhaddon,,,,esarhaddon.000.00.00,0671/12/01,,,,,,,,680–669 BC,,,,,(671-XII-01),,,,,,
4275,p334656,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4276,p334657,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4277,p334658,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4278,p334659,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4279,p334660,Esarhaddon,,,,esarhaddon.000.00.00,670,,,,,,,,680–669 BC,,,,,-670,,,,,,
4280,p334661,Sargon II,,,,sargon2.000.00.00,-708,,,,,,,,721–705 BC,,,,,-708,,,,,,
4281,p334662,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4282,p334663,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4283,p334664,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4284,p334665,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4285,p334666,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4286,p334667,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4287,p334668,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4288,p334669,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4289,p334670,Esarhaddon,,,,esarhaddon.000.00.00,-670,,,,,,,,680–669 BC,,,,,-670,,,,,,
4290,p334671,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4291,p334672,Esarhaddon,,,,esarhaddon.000.00.00,670/10/00,,,,,,,,680–669 BC,,,,,(670-X-[...]),,,,,,
4292,p334673,Sargon II,,,,sargon2.000.00.00,(707-706),,,,,,,,721–705 BC,,,,,(707-706),,,,,,
4293,p334674,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4294,p334675,Esarhaddon,,,,esarhaddon.000.00.00,0671/07/22,,,,,,,,680–669 BC,,,,,(671-VII-22),,,,,,
4295,p334676,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4296,p334678,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4297,p334679,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4298,p334680,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4299,p334681,Esarhaddon,,,,esarhaddon.000.00.00,669/02/00,,,,,,,,680–669 BC,,,,,(669-II-[...]),,,,,,
4300,p334682,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4301,p334683,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4302,p334687,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4303,p334688,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4304,p334689,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4305,p334690,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4306,p334691,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4307,p334692,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4308,p334693,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4309,p334694,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4310,p334695,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4311,p334696,Sargon II,,,,sargon2.000.00.00,-716,,,,,,,,721–705 BC,,,,,-716,,,,,,
4312,p334697,Sargon II,,,,sargon2.000.00.00,-707,,,,,,,,721–705 BC,,,,,-707,,,,,,
4313,p334698,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4314,p334699,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4315,p334700,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4316,p334701,Sennacherib,,,,sennacherib.000.00.00,,,,,,,,,704–681 BC,,,,,,,,,,,
4317,p334702,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4318,p334703,Sargon II,,,,sargon2.000.00.00,-709,,,,,,,,721–705 BC,,,,,-709,,,,,,
4319,p334704,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4320,p334705,Sargon II,,,,sargon2.000.00.00,-716,,,,,,,,721–705 BC,,,,,-716,,,,,,
4321,p334706,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4322,p334707,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4323,p334708,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4324,p334709,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4325,p334710,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4326,p334711,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4327,p334712,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4328,p334713,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4329,p334714,Esarhaddon,,,,esarhaddon.000.00.00,670/09/13-14,,,,,,,,680–669 BC,,,,,(670-IX-13-14),,,,,,
4330,p334715,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4331,p334716,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4332,p334717,Sargon II,,,,sargon2.000.00.00,(710-709),,,,,,,,721–705 BC,,,,,(710-709),,,,,,
4333,p334718,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4334,p334719,Esarhaddon,,,,esarhaddon.000.00.00,670/04-5/00,,,,,,,,680–669 BC,,,,,(670-IV-5-[...]),,,,,,
4335,p334720,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4336,p334721,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4337,p334722,Esarhaddon,,,,esarhaddon.000.00.00,669/03/00,,,,,,,,680–669 BC,,,,,(669-III-[...]),,,,,,
4338,p334723,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4339,p334724,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4340,p334725,Sargon II,,,,sargon2.000.00.00,(ca. 713-712),,,,,,,,721–705 BC,,,,,(ca. 713-712),,,,,,
4341,p334726,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4342,p334727,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4343,p334728,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4344,p334729,Sargon II,,,,sargon2.000.00.00,,,,,,,,,721–705 BC,,,,,,,,,,,
4345,p334730,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4346,p334731,Sargon II,,,,sargon2.000.00.00,-710,,,,,,,,721–705 BC,,,,,-710,,,,,,
4347,p334732,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4348,p334733,Ashurbanipal,,,,assurbanipal.000.00.00,0667/01/18,,,,,,,,668–ca. 631 BC,,,,,(667-I-18),,,,,,
4349,p334734,Ashurbanipal,,,,assurbanipal.000.00.00,668/00/04,,,,,,,,668–ca. 631 BC,,,,,(668-[...]-04),,,,,,
4350,p334735,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4351,p334736,Esarhaddon,,,,esarhaddon.000.00.00,669/01/00,,,,,,,,680–669 BC,,,,,(669-I-[...]),,,,,,
4352,p334737,Esarhaddon,,,,esarhaddon.000.00.00,(672-669),,,,,,,,680–669 BC,,,,,(672-669),,,,,,
4353,p334738,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4354,p334739,Sargon II,,,,sargon2.000.00.00,(717-706),,,,,,,,721–705 BC,,,,,(717-706),,,,,,
4355,p334740,Esarhaddon,,,,esarhaddon.000.00.00,(680-679),,,,,,,,680–669 BC,,,,,(680-679),,,,,,
4356,p334742,Esarhaddon,,,,esarhaddon.000.00.00,(679-675),,,,,,,,680–669 BC,,,,,(679-675),,,,,,
4357,p334743,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4358,p334744,Esarhaddon,,,,esarhaddon.000.00.00,670/04-5/00,,,,,,,,680–669 BC,,,,,(670-IV-5-[...]),,,,,,
4359,p334745,Esarhaddon,,,,esarhaddon.000.00.00,0670/12/27,,,,,,,,680–669 BC,,,,,(670-XII-27),,,,,,
4360,p334746,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4361,p334747,Ashurbanipal,,,,assurbanipal.000.00.00,0650/03/13,,,,,,,,668–ca. 631 BC,,,,,(650-III-13),,,,,,
4362,p334748,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4363,p334749,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4364,p334750,Esarhaddon,,,,esarhaddon.000.00.00,670/02/09 or 669/02/09,,,,,,,,680–669 BC,,,,,670 or 669-II-09,,,,,,
4365,p334751,Esarhaddon,,,,esarhaddon.000.00.00,670,,,,,,,,680–669 BC,,,,,-670,,,,,,
4366,p334752,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4367,p334753,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4368,p334754,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4369,p334755,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4370,p334756,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4371,p334757,Ashurbanipal,,,,assurbanipal.000.00.00,650,,,,,,,,668–ca. 631 BC,,,,,-650,,,,,,
4372,p334758,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4373,p334759,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4374,p334760,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4375,p334762,Esarhaddon,,,,esarhaddon.000.00.00,,,,,,,,,680–669 BC,,,,,,,,,,,
4376,p334763,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4377,p334764,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
4378,p334765,Esarhaddon,,,,esarhaddon.000.00.00,-670,,,,,,,,680–669 BC,,,,,-670,,,,,,
4379,p334766,Esarhaddon or Ashurbanipal,,,,00.000.00.00,680-669 or 668-ca. 631,,,,,,,,,,,,,(680-669 or 668-ca. 631),,,,,,
