,id_text,ruler,year,month,day,date_of_origin,date,long_date,date_gen,day,long_date_gen,month,year,eponym,regnal_dates,ancient_year,date_bce,months_recorded,date_comments,proposed_date,eponym_title,astron_date,Reg_year,Reg_no,dynastic_seat,ancient_date
842,p336139,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
843,p336141,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(9th-7th century),,,,,,
844,p336142,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
845,p336224,Adad-nerari III,[...],[...],[...],00.000.00.00,[...]-[...]-[...],"[... ...th, eponymy of ...]",[...]-[...]-[...],[...],"... ...th, [eponymy of ...]",[...],[...],,,,,,,(810-783),,,,,,
846,p336225,Šamši-Adad V,,,,shamshi-adad5.000.00.00,,,,,,,,,823–811 BC,,,,,(823-811),,,,,,
847,p336226,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
848,p336229,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
849,p336231,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
850,p336232,Aššur-etel-ilani,,,,assur-etel-ilani.000.00.00,,,,,,,,,ca. 630–627 BC,,,,,(ca. 630-627),,,,,,
851,p336233,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
852,p336234,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
853,p336235,Aššur-etel-ilani,,,,assur-etel-ilani.000.00.00,,,,,,,,,ca. 630–627 BC,,,,,(ca. 630-627),,,,,,
854,p336242,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(ca. 669-668),,,,,,
855,p336243,Ashurbanipal,,,,assurbanipal.000.00.00,,,,,,,,,668–ca. 631 BC,,,,,(668-ca. 631),,,,,,
856,p336244,uncertain,,,,00.000.00.00,,,,,,,,,,,,,,(7th century),,,,,,
