factgrid_id,collection,wikidata_id,collection_name,collection_name_native,name_native_iso,collection_url,wiki_url_eng,wiki_url_native,collection_id,cdli_id,collection_holding,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,osm_id,osm_type,geonames_id,notes,url_native_iso,to_be_deleted,cdli_url
,Destroyed,,Destroyed,,,,,,1,0,,,,,0,,,,,,,,,0,
,Unlocated,,Unlocated,,,,,,2,0,,,,,0,,,,,,,,,0,
,"Superintendence of Cultural Heritage, Malta; Malta",,"Superintendence of Cultural Heritage, Malta",Sovrintendenza tal-patrimonju kulturali,mlt,https://culture.gov.mt/en/culturalheritage,,,3,632,Storage,Extant,Agency,Public,0,MLT,MLT.5_1,MLT.5.13_1,,,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/632
Q510658,"Vorderasiatisches Museum, Berlin, Germany",Q542084,Vorderasiatisches Museum,Vorderasiatisches Museum,deu,https://www.smb.museum/museen-einrichtungen/vorderasiatisches-museum/home,https://en.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,https://de.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,4,215,Museum,Extant,Agency,Public,1,DEU,DEU.3_1,DEU.3.1_1,,,7911193,,deu,0,https://cdli.mpiwg-berlin.mpg.de/collections/215
,"Archaeological Museum of Thebes, Greece",Q637075,Archaeological Museum of Thebe,Αρχαιολογικό Μουσείο Θηβών,ell,https://www.mthv.gr/el,https://en.wikipedia.org/wiki/Archaeological_Museum_of_Thebes,https://el.wikipedia.org/wiki/Αρχαιολογικό_Μουσείο_Θηβών,5,0,Museum,Extant,Agency,Public,1,GRC,GRC.8_1,GRC.8.1_1,,,11220779,,ell,0,
,"Cairo Museum, Cairo, Egypt",Q201219,Museum of Egyptian Antiquities,المتحف المصري,ara,https://egymonuments.gov.eg/ar/subportals-group/the-egyptian-museum,https://en.wikipedia.org/wiki/Egyptian_Museum,https://ar.wikipedia.org/wiki/المتحف_المصري,6,399,Museum,Extant,Agency,Public,1,EGY,EGY.11_1,EGY.11.36_1,,,7922588,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/399
Q511925,"Louvre Museum, Paris, France",Q19675,Louvre,Louvre,fra,https://www.louvre.fr,https://en.wikipedia.org/wiki/Louvre,https://ar.wikipedia.org/wiki/متحف_اللوفر,7,647,Museum,Extant,Agency,Public,1,FRA,FRA.8_1,FRA.8.3_1,,,2997319,,fra,0,https://cdli.mpiwg-berlin.mpg.de/collections/647
Q102010,"British Museum, London, UK",Q6373,British Museum,British Museum,eng,https://www.britishmuseum.org,https://en.wikipedia.org/wiki/British_Museum,https://en.wikipedia.org/wiki/British_Museum,8,868,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.36_1,,,6697862,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/868
Q511934,"Ashmolean Museum, Oxford, UK",Q636400,Ashmolean Museum,Ashmolean Museum,eng,https://www.ashmolean.org,https://en.wikipedia.org/wiki/Ashmolean_Museum,https://en.wikipedia.org/wiki/Ashmolean_Museum,11,485,Museum,Extant,Educational institution,Uncertain,1,GBR,GBR.1_1,GBR.1.69_1,,,11217940,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/485
Q512004,"Metropolitan Museum of Art, New York, New York, USA",Q160236,Metropolitan Museum of Art,Metropolitan Museum of Art,eng,https://www.metmuseum.org,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,12,506,Museum,Extant,Foundation,Group,1,USA,USA.33_1,USA.33.32_1,,,5126698,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/506
Q511904,"Oriental Institute, University of Chicago, Chicago, Illinois, USA",Q1276053,"Oriental Institute, University of Chicago","Oriental Institute, University of Chicago",eng,https://oi.uchicago.edu,https://en.wikipedia.org/wiki/Oriental_Institute_(Chicago),https://en.wikipedia.org/wiki/Oriental_Institute_(Chicago),15,994,Collection,Extant,Educational institution,Group,1,USA,USA.14_1,USA.14.16_1,,,4904911,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/994
Q511930,"Musées royaux d’Art et d’Histoire, Brussels, Belgium",Q945059,"Royal Musuems of Art and History, Brussels",Musées royaux d’Art et d’Histoire,fra,http://www.kmkg-mrah.be,https://en.wikipedia.org/wiki/Royal_Museums_of_Art_and_History,https://nl.wikipedia.org/wiki/Koninklijke_Musea_voor_Kunst_en_Geschiedenis,17,330,Museum,Extant,Agency,Public,1,BEL,BEL.1_1,BEL.1.1_1,,,10228685,,nld,0,https://cdli.mpiwg-berlin.mpg.de/collections/330
Q511944,"Pushkin Museum, Moscow, Russia; Pushkin State Museum of Fine Arts, Moscow, Russian Federation",Q4872,Pushkin State Museum of Fine Arts,Государственный музей изобразительных искусств имени А.С. Пушкина,rus,https://pushkinmuseum.art/?lang=ru,https://en.wikipedia.org/wiki/Pushkin_Museum,https://ru.wikipedia.org/wiki/Государственный_музей_изобразительных_искусств_имени_А._С._Пушкина,19,284,Museum,Extant,Agency,Public,1,RUS,RUS.43_1,RUS.43.1_1,,,6956704,,rus,0,https://cdli.mpiwg-berlin.mpg.de/collections/284
Q511898,"Arkeoloji Müzeleri, Istanbul, Turkey",Q636978,Istanbul Archaeology Museum,İstanbul Arkeoloji Müzeleri,tur,https://muze.gov.tr/muze-detay?SectionId=IAR01&DistId=IAR,https://en.wikipedia.org/wiki/Istanbul_Archaeology_Museums,https://tr.wikipedia.org/wiki/İstanbul_Arkeoloji_Müzeleri,20,326,Museum,Extant,Agency,Public,1,TUR,TUR.40_1,TUR.40.20_1,,,6947643,,tur,0,https://cdli.mpiwg-berlin.mpg.de/collections/326
,"Israel Antiquities Authority, Israel; Israel Antiquities Authority storerooms; Israel Antiquities Authority, Jerusalem; Isreal Antiquties Authority, Jerusalem, Israel",Q2744135,Israel Antiquities Authority,רשות העתיקות,heb,http://www.antiquities.org.il/default.aspx,https://en.wikipedia.org/wiki/Israel_Antiquities_Authority,https://he.wikipedia.org/wiki/רשות_העתיקות,21,592; 1318; 471; 1028,Storage,Extant,Agency,Public,0,ISR,ISR.6_1,,481321427,way,0,,heb,0,
,"Smithsonian Institute, Washington DC, USA; Smithsonian Institution, Washington, DC, USA",Q131626,Smithsonian Institution,Smithsonian Institution,eng,https://www.si.edu,https://en.wikipedia.org/wiki/Smithsonian_Institution,https://en.wikipedia.org/wiki/Smithsonian_Institution,22,703,Museum,Extant,Uncertain,Uncertain,1,USA,USA.9_1,USA.9.1_1,,,4140525,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/703
,"Rockefeller Museum, Jerusalem, Israel",Q1430185,Rockefeller Archaeological Museum,מוזיאון רוקפלר לארכאולוגיה,heb,https://www.imj.org.il/he/wings/archaeology/מוזיאון-רוקפלר-לארכאולוגיה,https://en.wikipedia.org/wiki/Rockefeller_Archeological_Museum,https://he.wikipedia.org/wiki/מוזיאון_רוקפלר,23,0,Museum,Extant,Agency,Public,1,PSE,PSE.2_1,PSE.2.5_1,,,11874035,,heb,0,
Q169485,"The Israel Museum, Jerusalem",Q46815,"Israel Museum, Jerusalem","מוזיאון ישראל, ירושלים",heb,https://www.imj.org.il/#page-1,https://en.wikipedia.org/wiki/Israel_Museum,https://he.wikipedia.org/wiki/מוזיאון_ישראל,24,701,Museum,Extant,Agency,Public,1,ISR,ISR.6_1,0,,,10228891,,heb,0,https://cdli.mpiwg-berlin.mpg.de/collections/701
,"private: anonymous, unlocated",,0190 Anonymous,,,,,,25,190,Collection,Unknown,Person,Individual,0,,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/190
,"Ophel Archaeological Garden, Jerusalem, Israel",Q6605079,Jerusalem Archaeological Park,הגן הארכיאולוגי ירושלים,heb,https://jerusalemfoundation.org/old-project/ophel-archeological-park-yitzhak-ben-youssef-levy-garden-the-ophel,,,26,0,Museum,Extant,Agency,Public,1,PSE,PSE.2_1,PSE.2.5_1,3820186,relation,0,,,0,
,"Badé Institute of Biblical Archaeology, Pacific School of Religion, Berkeley, CA, USA; Badè Museum of Biblical Archaeology; Badè Institute of Biblical Archaeology, Pacific School of Religion, Berkeley, CA, USA",Q2744135,Badè Museum of Biblical Archaeology,Badè Museum of Biblical Archaeology,eng,https://www.psr.edu/centers/bade-museum/,https://en.wikipedia.org/wiki/Israel_Antiquities_Authority,,27,344,Museum,Extant,Educational institution,Public,1,USA,USA.5_1,USA.5.1_1,,,5380398,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/344
Q511909,"Kelsey Museum of Archaeology, University of Michigan, Ann Arbor, Michigan, USA",Q1738346,Kelsey Museum of Archaeology,Kelsey Museum of Archaeology,eng,https://lsa.umich.edu/kelsey,https://en.wikipedia.org/wiki/Kelsey_Museum_of_Archaeology,https://en.wikipedia.org/wiki/Kelsey_Museum_of_Archaeology,28,1185,Museum,Extant,Educational institution,Public,1,USA,USA.23_1,USA.23.85_1,,,8094069,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/1185
,"The Hebrew University of Jerusalem, Jerusalem, Israel; Institute of Archaeology, Hebrew University, Jerusalem",Q174158,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,heb,https://new.huji.ac.il,https://en.wikipedia.org/wiki/Hebrew_University_of_Jerusalem,https://he.wikipedia.org/wiki/האוניברסיטה_העברית_בירושלים,29,726,Collection,Extant,Educational institution,Public,1,PSE,PSE.2_1,PSE.2.5_1,,,11608742,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/726
,"Hazor Museum, Kibbutz Ayelet Hashachar, Israel",Q740138,Hatsor Antiquities Museum,מוזיאון עתיקות חצור,heb,https://www.parks.org.il/reserve-park/גן-לאומי-תל-חצור,https://en.wikipedia.org/wiki/Tel_Hazor,https://he.wikipedia.org/wiki/תל_חצור#ממצאי_התעודות,30,0,Museum,Extant,Agency,Public,1,PSE,PSE.2_1,PSE.2.5_1,,,293365,,heb,0,
,"private: Oded Golan, Israel",Q2916514,Oded Golan,עודד גולן,heb,,https://en.wikipedia.org/wiki/Oded_Golan,https://he.wikipedia.org/wiki/עודד_גולן_(אספן_עתיקות),31,0,Collection,Unknown,Person,Individual,0,ISR,ISR.7_1,0,,,,,heb,0,
,"Department of Near Eastern Languages and Civilizations at Harvard, Cambridge, Massachusetts, USA",,Near Eastern Languages and Civilizations Department at Harvard,Near Eastern Languages and Civilizations Department at Harvard,eng,https://nelc.fas.harvard.edu,,,32,0,Collection,Extant,Educational institution,Group,1,USA,USA.22_1,USA.22.9_1,,,4950560,,,0,
,"Musée de Beyrouth, Beirut, Libanon; National Museum, Beirut, Lebanon",Q2915627,Beirut National Museum,متحف بيروت الوطنيّ,ara,http://www.museebeyrouth-liban.org,https://en.wikipedia.org/wiki/National_Museum_of_Beirut,https://ar.wikipedia.org/wiki/متحف_بيروت_الوطني,33,790; 799,Museum,Extant,Agency,Public,1,LBN,LBN.3_1,LBN.3.1_1,,,7642366,,ara,0,
Q511875,"National Museum of Syria, Damascus, Syria",Q617254,Damascus National Museum,المتحف الوطني دمشق,ara,http://dgam.gov.sy/المتاحف-الوطنية/المتحف-الوطني/,https://en.wikipedia.org/wiki/National_Museum_of_Damascus,https://ar.wikipedia.org/wiki/المتحف_الوطني_بدمشق,34,1206,Museum,Extant,Agency,Public,1,SYR,SYR.13_1,SYR.13.6_1,,,7642366,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/1206
,"National Museum of Latakia, Latakia, Syria",Q6852338,Latakia National Museum,المتحف الوطني اللاذقية,ara,http://dgam.gov.sy/المتاحف-الوطنية/#1604583634118-a474a5c8-8d6d,https://en.wikipedia.org/wiki/National_Museum_of_Latakia,https://ar.wikipedia.org/wiki/متحف_اللاذقية,35,0,Museum,Extant,Agency,Public,1,SYR,SYR.11_1,SYR.11.3_1,,,8445093,,ara,0,
,"Bahrain National Museum, Manama, Bahrain",Q869788,Bahrain National Museum,متحف البحرين الوطني,ara,https://culture.gov.bh/en/authority/cultural_sites/BahrainNationalMuseum,https://en.wikipedia.org/wiki/Bahrain_National_Museum,,36,0,Museum,Extant,Agency,Public,1,BHR,BHR.1_1,0,28582671,way,0,,ara,0,
,"Kuwait National Museum, Kuwait City, Kuwait",Q2498040,National Museum Kuwait,متحف الكويت الوطني,ara,https://www.nccal.gov.kw/pages/monumentsandmuseums/kuwaitmuseums,https://en.wikipedia.org/wiki/Kuwait_National_Museum,https://ar.wikipedia.org/wiki/متحف_الكويت_الوطني,37,0,Museum,Extant,Agency,Public,1,KWT,KWT.4_1,0,5284460222,node,0,,ara,0,
,"Moesgaard Museum, Aarhus, Denmark",Q3299384,Moesgaard Museum,Moesgaard Museum,dan,https://www.moesgaardmuseum.dk,https://en.wikipedia.org/wiki/Moesgaard_Museum,https://de.wikipedia.org/wiki/Moesgaard_Museum,38,0,Museum,Extant,Foundation,Group,1,DNK,DNK.2_1,DNK.2.1_1,,,6940370,,dan,0,
Q511881,"National Museum of Syria, Der-ez-Zor, Syria ?unlocated",Q1954780,Deir Ezzor National Museum,المتحف الوطني دير الزور,ara,http://dgam.gov.sy/المتاحف-الوطنية/#1604583731745-93d942af-e1d4,https://en.wikipedia.org/wiki/Deir_ez-Zor_Museum,https://ar.wikipedia.org/wiki/متحف_دير_الزور,39,685,Museum,Extant,Agency,Public,1,SYR,SYR.7_1,SYR.7.2_1,,,7639062,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/685
Q511885,"National Museum of Syria, Aleppo, Syria",Q1164599,Aleppo National Museum,المتاحف الوطنية حلب,ara,http://dgam.gov.sy/المتاحف-الوطنية/متحف-حلب/,https://en.wikipedia.org/wiki/National_Museum_of_Aleppo,https://ar.wikipedia.org/wiki/متحف_حلب_الوطني,40,277,Museum,Extant,Agency,Public,1,SYR,SYR.2_1,SYR.2.6_1,,,7753555,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/277
,"Schøyen Collection, Oslo, Norway",Q2380144,Schøyen Collection,Schøyen-samlingen,nor,https://www.schoyencollection.com,https://en.wikipedia.org/wiki/Sch%C3%B8yen_Collection,https://no.wikipedia.org/wiki/Schøyen-samlingen,41,186,Collection,Extant,Person,Individual,0,NOR,,,,,0,,nor,0,https://cdli.mpiwg-berlin.mpg.de/collections/186
Q511874,"National Museum of Iraq, Baghdad, Iraq",Q521251,Iraq Museum,المتحف العراقي,ara,https://www.theiraqmuseum.com/index.html,https://en.wikipedia.org/wiki/Iraq_Museum,https://ar.wikipedia.org/wiki/المتحف_العراقي,42,1100,Museum,Extant,Agency,Public,1,IRQ,IRQ.10_1,IRQ.10.1_1,7973082344,node,0,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/1100
Q511943,"Nationalmuseet, Copenhagen, Denmark",Q648166,National Museum Denmark,Nationalmuseet,dan,https://en.natmus.dk,https://en.wikipedia.org/wiki/National_Museum_of_Denmark,https://da.wikipedia.org/wiki/Nationalmuseet,43,83,Museum,Extant,Agency,Public,1,DNK,DNK.1_1,DNK.1.25_1,,,6949468,,dan,0,https://cdli.mpiwg-berlin.mpg.de/collections/83
,"National Museum of Syria, Raqqa, Syria",Q1961862,Al-Raqqa National Museum,المتحف الوطني الرقة,ara,http://dgam.gov.sy/المتاحف-الوطنية/متحف-الرقة/,https://en.wikipedia.org/wiki/Raqqa_Museum,https://ar.wikipedia.org/wiki/متحف_الرقة,44,204,Museum,Extant,Agency,Public,1,SYR,SYR.3_1,SYR.3.1_1,459224224,way,0,,ara,0,https://cdli.mpiwg-berlin.mpg.de/collections/204
,"Archeological Museum, Antakya, Hatay, Turkey",Q636888,Hatay Musuem,Hatay Arkeoloji Müzesi,tur,https://muze.gov.tr/muze-detay?SectionId=HTY01&DistId=HTY,https://en.wikipedia.org/wiki/Hatay_Archaeology_Museum,https://tr.wikipedia.org/wiki/Hatay_Arkeoloji_Müzesi,45,442,Museum,Extant,Agency,Public,1,TUR,TUR.37_1,TUR.37.9_1,330559956,way,0,,tur,0,https://cdli.mpiwg-berlin.mpg.de/collections/442
,"Australian Institute of Archaeology, Melbourne,Victoria, Australia",,Australian Institute of Archaeology,Australian Institute of Archaeology,eng,https://www.aiarch.org.au/,,,46,1180,Collection,Extant,Educational institution,Group,1,AUS,AUS.10_1,AUS.10.18_1,408811890,way,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1180
,"Adana Museum, Adana, Turkey",Q195019,Adana Archaeology Museum,Adana Arkeoloji Müzesi,tur,https://turkishmuseums.com/museum/detail/1922-adana-arkeoloji-muzesi/1922/1,https://en.wikipedia.org/wiki/Adana_Archaeology_Museum,https://tr.wikipedia.org/wiki/Adana_Arkeoloji_Müzesi,47,921,Museum,Extant,Agency,Public,1,TUR,TUR.1_1,TUR.1.13_1,5014570422,node,0,,tur,0,https://cdli.mpiwg-berlin.mpg.de/collections/921
,"Institute of Archaeology, London, UK",Q7864073,UCL Institute of Archaeology,UCL Institute of Archaeology,eng,https://www.ucl.ac.uk/archaeology,https://en.wikipedia.org/wiki/UCL_Institute_of_Archaeology,https://en.wikipedia.org/wiki/UCL_Institute_of_Archaeology,48,651,Collection,Extant,Educational institution,Group,1,GBR,GBR.1_1,GBR.1.36_1,40205772,way,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/651
,"private: anonymous, Japan",,0074 Anonymous,,,,,,49,74,Collection,Unknown,Person,Individual,0,JPN,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/74
,"private: anonymous, Lebanon",,GLoW_id 0050 Anonymous,,,,,,50,0,Collection,Unknown,Person,Individual,0,LBN,,,,,,,,0,
,"Postmuseum, Stockholm, Sweden",Q712309,Postmuseum,Postmuseum,swe,https://www.postmuseum.se,,https://sv.wikipedia.org/wiki/Postmuseum,51,0,Museum,Extant,Company,Group,1,SWE,SWE.15_1,SWE.15.18_1,304603696,node,0,,swe,0,
,"Homs Museum, Homs, Syria",,Homs National Museum,المتحف الوطني حمص,ara,http://dgam.gov.sy/المتاحف-الوطنية/#1604582711009-33ca2dc5-ab90,,,52,0,Museum,Extant,Agency,Public,1,SYR,SYR.9_1,SYR.9.4_1,6124350121,node,0,,,0,
,"École Biblique et Archéologique Française, Jerusalem; Couvent Saint-Étienne, Jerusalem",Q273496,"École biblique et archéologique française de Jérusalem, Couvent de Saint-Étienne",בית הספר הצרפתי למקרא ולארכאולוגיה,heb,https://www.ebaf.edu/hebreu,https://en.wikipedia.org/wiki/%C3%89cole_Biblique,https://he.wikipedia.org/wiki/בית_הספר_הצרפתי_למקרא_ולארכאולוגיה,53,391; 1312,Collection,Extant,Foundation,Group,1,ISR,ISR.6_1,0,679480398,node,0,,heb,0,
Q511899,"Yale Babylonian Collection, New Haven, Connecticut, USA",Q2599064,Yale Babylonian Collection,Yale Babylonian Collection,eng,https://babylonian-collection.yale.edu,https://en.wikipedia.org/wiki/Yale_Babylonian_Collection,https://en.wikipedia.org/wiki/Yale_Babylonian_Collection,54,6,Collection,Extant,Educational institution,Group,1,USA,USA.7_1,USA.7.5_1,2840329,relation,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/6
Q511892,"University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA",Q1285902,Penn Museum,Penn Museum,eng,https://www.penn.museum,https://en.wikipedia.org/wiki/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology,https://en.wikipedia.org/wiki/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology,56,429,Museum,Extant,Educational institution,Group,1,USA,USA.39_1,USA.39.51_1,,,10235408,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/429
,"Ethnological Collections, Redpath Museum, McGill University, Montreal, Quebec Province, Canada",Q1814467,Redpath Museum,Redpath Museum,eng,https://www.mcgill.ca/redpath,https://en.wikipedia.org/wiki/Redpath_Museum#Ethnology,https://en.wikipedia.org/wiki/Redpath_Museum#Ethnology,59,180,Museum,Extant,Educational institution,Public,1,CAN,CAN.11_1,CAN.11.20_1,,,10346659,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/180
,"Birmingham Museums and Art Gallery, Birmingham, UK",Q1799857,Birmingham Museum & Art Gallery,Birmingham Museum & Art Gallery,eng,https://www.birminghammuseums.org.uk/bmag,https://en.wikipedia.org/wiki/Birmingham_Museum_and_Art_Gallery,https://en.wikipedia.org/wiki/Birmingham_Museum_and_Art_Gallery,60,494,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.4_1,28288365,way,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/494
,"Oriental Museum, University of Durham, Durham, UK",Q5316587,"Oriental Museum, Durham",Oriental Museum,eng,https://www.dur.ac.uk/oriental.museum,https://en.wikipedia.org/wiki/Durham_University_Oriental_Museum,https://en.wikipedia.org/wiki/Durham_University_Oriental_Museum,61,64,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.30_1,32495798,way,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/64
,"private: Michail, Louise, Milan, Italy",,Louise Michail Collection,"Michail, Louise",ita,,,,62,984,Collection,Unknown,Person,Individual,0,ITA,ITA.10_1,ITA.10.8_1,,,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/984
,"Museum of Archaeology and Anthropology, University of Cambridge, Cambridge, UK",Q1954733,"Museum of Archaeology and Anthropology, University of Cambridge",Museum of Archaeology and Anthropology,eng,https://maa.cam.ac.uk,"https://en.wikipedia.org/wiki/Museum_of_Archaeology_and_Anthropology,_University_of_Cambridge","https://en.wikipedia.org/wiki/Museum_of_Archaeology_and_Anthropology,_University_of_Cambridge",63,581,Museum,Extant,Agency,Public,1,GBR,GBR.1_1,GBR.1.16_1,,,10228715,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/581
,"Nicholson Museum, University of Sydney, Sydney, Australia",Q7026623,Nicholson Collection,Nicholson Collection,eng,https://www.sydney.edu.au/museum/discover-our-collections/nicholson-collection.html,https://en.wikipedia.org/wiki/Nicholson_Museum,https://en.wikipedia.org/wiki/Nicholson_Museum,64,115,Museum,Extant,Agency,Public,1,AUS,AUS.5_1,AUS.5.122_1,8186083992,node,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/115
,"Nimrud, Iraq; Tigris, Iraq; In situ; Bābili, Iraq; Behistun, Kermanshah Province, Iran; El-Hiba, Iraq; Tello, Iraq-, Nuffar, Iraq; Nimrud Collection, Nimrud, Iraq; in situ at Ur; left in situ; Tell Muqayyar, Iraq",,In situ,,,,,,65,45; 105; 372; 644; 188; 567; 738; 780; 913; 956; 1235,,,,,0,,,,,,,,,0,
Q511899,"Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA",Q2599064,"Nies Babylonian Collection, Yale Babylonian Collection","Nies Babylonian Collection, Yale Babylonian Collection",eng,https://babylonian-collection.yale.edu,https://en.wikipedia.org/wiki/Yale_Babylonian_Collection,https://en.wikipedia.org/wiki/Yale_Babylonian_Collection,66,516,Collection,Extant,Educational institution,Group,1,USA,USA.7_1,USA.7.5_1,2840329,relation,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/516
,"University of Oslo, Oslo, Norway",Q3356148,"Museum of Cultural History, University of Oslo",Kulturhistorisk museum,nor,https://www.khm.uio.no,"https://en.wikipedia.org/wiki/Museum_of_Cultural_History,_Oslo",https://no.wikipedia.org/wiki/Kulturhistorisk_museum,67,521,Collection,Extant,Educational institution,Public,1,NOR,NOR.12_1,NOR.12.1_1,,,10235401,,nor,0,https://cdli.mpiwg-berlin.mpg.de/collections/521
Q511888,"Hearst Museum of Anthropology, University of California at Berkeley, Berkeley, California, USA",Q7186647,Hearst Museum,Phoebe A. Hearst Museum of Anthropology,eng,https://hearstmuseum.berkeley.edu,https://en.wikipedia.org/wiki/Phoebe_A._Hearst_Museum_of_Anthropology,https://en.wikipedia.org/wiki/Phoebe_A._Hearst_Museum_of_Anthropology,68,1166,Museum,Extant,Educational institution,Public,1,USA,USA.5_1,USA.5.1_1,,,5356038,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/1166
,"private: Schollmeyer, F.A., unlocated (dispersed)",,F. A. Schollmeyer Collection,,,,,,69,304,Museum,Terminated,Person,Individual,0,,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/304
Q511893,"Free Library of Philadelphia, Philadelphia, Pennsylvania, USA",Q3087288,Free Library of Philadelphia,Free Library of Philadelphia,eng,https://www.freelibrary.org,https://en.wikipedia.org/wiki/Free_Library_of_Philadelphia,https://en.wikipedia.org/wiki/Free_Library_of_Philadelphia,70,874,Library,Extant,Agency,Public,1,USA,USA.39_1,USA.39.51_1,,,7147720,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/874
Q511896,"Princeton Theological Seminary, Princeton, New Jersey, USA",Q909696,Princeton Theological Seminary,Princeton Theological Seminary,eng,https://library.ptsem.edu/special-collections-overview,https://en.wikipedia.org/wiki/Princeton_Theological_Seminary,https://en.wikipedia.org/wiki/Princeton_Theological_Seminary,71,666,Library,Extant,Educational institution,Group,1,USA,USA.31_1,USA.31.11_1,,,5102953,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/666
Q511910,"Semitic Museum, Harvard University, Cambridge, Massachusetts, USA; Harvard Museum of the Ancient Near East, Harvard University, Cambridge, Massachusetts, USA",Q2918448,Harvard Museum of the Ancient Near East,Harvard Museum of the Ancient Near East,eng,https://hmane.harvard.edu,https://en.wikipedia.org/wiki/Harvard_Museum_of_the_Ancient_Near_East,https://en.wikipedia.org/wiki/Harvard_Museum_of_the_Ancient_Near_East,72,17,Museum,Extant,Educational institution,Group,1,USA,USA.22_1,USA.22.9_1,,,4950560,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/17
Q511887,"Rosicrucian Egyptian Museum, San Jose, California, USA",Q3354610,Rosicrucian Egyptian Museum,Rosicrucian Egyptian Museum,eng,https://egyptianmuseum.org,https://en.wikipedia.org/wiki/Rosicrucian_Egyptian_Museum,https://en.wikipedia.org/wiki/Rosicrucian_Egyptian_Museum,73,813,Museum,Extant,Foundation,Group,1,USA,USA.5_1,USA.5.43_1,28642327,way,0,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/813
,"private collection: Yushodo Co. Ltd. Tokyo, Japan",Q11659220,Yushodo Co. Ltd.,雄松堂書店,jpn,https://yushodo.maruzen.co.jp,,https://ja.wikipedia.org/wiki/雄松堂書店,74,220,Collection,Extant,Company,Group,0,JPN,,,,,,,jpn,0,https://cdli.mpiwg-berlin.mpg.de/collections/220
,"Finnish National Museum, Helsinki, Finland",Q1418136,National Museum Finland,Kansallismuseo,fin,https://www.kansallismuseo.fi/fi/kansallismuseo,https://en.wikipedia.org/wiki/National_Museum_of_Finland,https://fi.wikipedia.org/wiki/Suomen_kansallismuseo,75,811,Museum,Extant,Agency,Public,1,FIN,FIN.4_1,FIN.4.5_1,,,6956569,,fin,0,https://cdli.mpiwg-berlin.mpg.de/collections/811
,"Medelhavsmuseet, Stockholm, Sweden",Q1331646,"Museum of Mediterranean and Near Eastern Antiquities, Stockholm",Medelhavsmuseet,swe,https://www.medelhavsmuseet.se,https://en.wikipedia.org/wiki/Medelhavsmuseet,https://sv.wikipedia.org/wiki/Medelhavsmuseet,76,102,Museum,Extant,Agency,Public,1,SWE,SWE.15_1,SWE.15.18_1,,,10174614,,swe,0,https://cdli.mpiwg-berlin.mpg.de/collections/102
