factgrid_id,collection,wikidata_id,collection_name,collection_name_native,name_native_iso,collection_url,wiki_url_eng,wiki_url_native,collection_id,cdli_id,collection_holding,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,osm_id,osm_type,geonames_id,notes,url_native_iso,to_be_deleted,cdli_url
,"Archaeological Institute, University of Tübingen, Tübingen, Germany",Q153978,"Institute of Ancient Near Eastern Studies, University of Tübingen",Institut für die Kulturen des Alten Orients,deu,https://uni-tuebingen.de/fakultaeten/philosophische-fakultaet/fachbereiche/altertums-und-kunstwissenschaften/institut-fuer-die-kulturen-des-alten-orients-ianes/institut,https://en.wikipedia.org/wiki/University_of_Tübingen,,725,1061,Collection,Extant,Educational institution,Public,1,DEU,DEU.1_1,DEU.1.41_1,relation,19602,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1061
,"Archaeological Museum, Çorum, Turkey",Q637119,Çorum Archaeological Museum,Çorum Müzesi,tur,https://www.kulturportali.gov.tr/turkiye/corum/gezilecekyer/corum-muzesi,https://en.wikipedia.org/wiki/Çorum_Archaeological_Museum,https://tr.wikipedia.org/wiki/Çorum_Müzesi,726,619,Museum,Extant,Agency,Public,1,TUR,TUR.24_1,TUR.24.9_1,,,10309476,,tur,0,https://cdli.mpiwg-berlin.mpg.de/collections/619
,"Archaeological Museum, Jerusalem",Q2744135,"National Treasures Department, Israel Antiquities Authorities",רשות העתיקות,heb,https://www.antiquities.org.il/default.aspx,,,727,507,Uncertain,Uncertain,Agency,Public,0,ISR,,,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/507
,"Archaeological Museum, Plovdiv, Bulgaria",Q637043,Regional Archaeological Museum in Plovdiv,Регионален археологически музей в Пловдив,bul,https://archaeologicalmuseumplovdiv.org/_m1727/Начало,,,728,1303,Museum,Extant,Uncertain,Unknown,1,BGR,BGR.14_1,BGR.14.11_1,4490578390,node,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1303
,"Archaeology Lab, Walla Walla College, Walla Walla, Washington, USA",,"Archaeology Lab, Walla Walla College",,,,,,729,370,Unknown,Unknown,Educational institution,Group,0,USA,USA.48_1,USA.48.36_1,,,,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/370
,"Archaeology Museum, Wheaton College, Wheaton, Illinois, USA",,"Archaeology Museum, Wheaton Colleg","Archaeology Museum, Wheaton Colleg",eng,https://www.wheaton.edu/academics/school-of-biblical-and-theological-studies/archaeology-museum,,,730,1014,Museum,Extant,Educational institution,Group,1,USA,USA.14_1,USA.14.22_1,4029627,relation,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1014
,"Archbishop's palace, Florence, Italy",Q3889554,"Archbishop's palace, Florence",Arcivescovile Palace,ita,http://en.firenze-online.com/visit/palazzo-arcivescovile-117,,,731,1313,Uncertain,Uncertain,Foundation,Group,1,ITA,ITA.16_1,ITA.16.2_1,1592495,relation,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/1313
,"Archäologisches Institut, Ruhr-Universität Bochum, Bochum, Germany",,Institute of Archaeological Sciences Ruhr-Universität Bochum,Institut für Archäologische Wissenschaften,deu,https://www.ruhr-uni-bochum.de/archaeologie/index.html.de,,,732,380,Unknown,Unknown,Educational institution,Public,1,DEU,DEU.10_1,DEU.10.2_1,769671900,way,0,,,0,https://cdli.mpiwg-berlin.mpg.de/collections/380
,"Archäologisches Museum, Universität Münster, Münster, Germany",Q636996,Archaeological Museum of the WWU,Archäologisches Museum der WWU Münster,deu,https://www.uni-muenster.de/ArchaeologischesMuseum,,https://de.wikipedia.org/wiki/Archäologisches_Museum_Münster,733,108,Museum,Extant,Educational institution,Public,1,DEU,DEU.10_1,DEU.10.33_1,506582780,node,0,,deu,0,https://cdli.mpiwg-berlin.mpg.de/collections/108
,"Arnot Art Museum, Elmira, New York, USA",Q4795381,Arnot Art Museum,Arnot Art Museum,eng,http://www.arnotartmuseum.org,https://en.wikipedia.org/wiki/Arnot_Art_Museum,https://en.wikipedia.org/wiki/Arnot_Art_Museum,734,486,Museum,Extant,Foundation,Individual,1,USA,USA.33_1,USA.33.8_1,,,7706241,,eng,0,https://cdli.mpiwg-berlin.mpg.de/collections/486
